,CPD_MP,CODIGO_MP,DESCRICAO_MP,SUBGRUPO,ESTOQUE,ESTOQUE_LP,ESTOQUE_CORTE,PERC_ESTOQUE_LP,PERC_ESTOQUE_CORTE,HORIZONTE_PROGRAMACAO,ESTOQUE_LP_CONSIDERADO,ESTOQUE_CORTE_CONSIDERADO
0,800.0,AN2052,"TERMINAL OLHAL 2,70-6,60 MM2 M8",TERMINAIS OLHAIS E TUBULARES GRANEL,100.0,79.0,0.0,65.0,85.0,4.0,51.35,0.0
1,819.0,AN2037-C,"TER OLHAL M8 (1,30-2,60MM²)",TERMINAIS OLHAIS E TUBULARES GRANEL,0.0,195.0,0.0,65.0,85.0,4.0,126.75,0.0
2,907.0,881111-1 (BUFFER),"350536-1 TER FEMEA SOQ MATE-N-LOCK UNIV. LT SN (0,5-2,08MM²) TIN-PLATED(X08.038.181)",TERMINAIS HILOCK,70000.0,109790.03299999992,0.0,65.0,0.0,4.0,71363.52144999996,0.0
3,908.0,881109-1 (BUFFER),"350687-1 - TER. MACHO PINO MATE-N-LOCK UNIV. LT SN (0,5-2,08MM²) (X08.038.180)",TERMINAIS AGRÍCOLAS/AUTOMOTIVOS,75000.0,76521.00999999998,0.0,60.0,85.0,4.0,45912.605999999985,0.0
4,1062.0,LW-6350F1202 (1-480708-0) (BUFFER),CONECTOR 12V MACHO (X08.038.178),CONECTORES HILOCK'S,14380.0,4758.0,0.0,0.0,0.0,4.0,0.0,0.0
5,1065.0,LW-6350F0902 (1-480706-0) (BUFFER),CONECTOR 9V MACHO (X08.038.291),CONECTORES HILOCK'S,6870.0,289.0,0.0,80.0,85.0,4.0,231.20000000000002,0.0
6,1718.0,AN2051,"TER.OLHAL M6 (2,70-6,60MM²) S/ ISOL",TERMINAIS OLHAIS E TUBULARES GRANEL,42.0,44.0,0.0,65.0,85.0,4.0,28.6,0.0
7,1916.0,180907-0,"CONECTOR RECEP 2V 6,3 TIPO T NATURAL",TERMINAIS E CAPAS FASTON E FASTIN,2000.0,885.0,0.0,80.0,85.0,15.0,708.0,0.0
8,2647.0,LW-4203TF22R,TERMINAL MINIFIT FEMEA (X08.038.600) 18AWG - 24AWG,TERMINAIS AGRÍCOLAS/AUTOMOTIVOS,55000.0,27619.5,0.0,80.0,85.0,5.0,22095.600000000002,0.0
9,2704.0,444335-2,"TER RECEP 6.3X0,8MM FAST-ON S/ TRAVA (1 ,00-2,5MM²)",TERMINAIS AGRÍCOLAS/AUTOMOTIVOS,20000.0,32745.999999999993,0.0,55.0,85.0,6.0,18010.299999999996,0.0
10,2996.0,FITA ISOLANTE (PRETO),"FITA PVC ISOLANTE 85ºC - 0,10MM X 19,00MM X 20M PRETO (VALOR POR METRO)",USO CONSUMO,21699.16,62190.27500000021,0.0,5.0,0.0,4.0,3109.513750000011,0.0
11,3111.0,1-735075-0,"ISOLADOR FASTON 6,3X0,8 BR",CONECTORES FASTON,104788.0,21627.0,0.0,70.0,85.0,14.0,15138.9,0.0
12,5741.0,350701009001004,"C.FLEX 0,50MM2 300V -40ºC A 105ºC (DIN 72551) BR",CABOS SINGELOS,16000.0,11795.477000000017,3121.6500000000583,45.0,85.0,4.0,5307.964650000008,2653.4025000000493
13,5745.0,350701009002004,"C.FLEX 0,50MM2 300V -40ºC A 105ºC (DIN 72551) AM",CABOS SINGELOS,8000.0,9186.702000000105,2603.72800000007,45.0,85.0,4.0,4134.015900000048,2213.1688000000595
14,5746.0,350701009003004,"C.FLEX 0,50MM2 300V -40ºC A 105ºC (DIN 72551) AZ",CABOS SINGELOS,19000.0,20532.545999998427,4708.637999999768,45.0,85.0,4.0,9239.645699999292,4002.342299999803
15,5749.0,350701009009004,"C.FLEX 0,50MM2  300V -40ºC A 105ºC (DIN 72551) VM",CABOS SINGELOS,12000.0,9530.924000000303,2651.274000000019,45.0,85.0,4.0,4288.915800000136,2253.5829000000163
16,5750.0,350701009010004,"C.FLEX 0,50MM2  300V -40ºC A 105ºC (DIN 72551) PT",CABOS SINGELOS,7000.0,8440.899000000254,4276.089999999797,45.0,85.0,4.0,3798.4045500001143,3634.6764999998277
17,5751.0,350701009012004,"C.FLEX 0,50MM2  300V -40ºC A 105ºC (DIN 72551) MR",CABOS SINGELOS,8000.0,10057.772000000117,2735.9850000000724,45.0,85.0,4.0,4525.997400000053,2325.5872500000614
18,5752.0,350701009014004,"C.FLEX 0,50MM2 300V -40ºC A 105ºC (DIN 72551) CZ",CABOS SINGELOS,8000.0,1384.8709999999808,1922.9809999999416,45.0,85.0,4.0,623.1919499999914,1634.5338499999502
