"";"PK_PRO";"DESCRICAO";"FK_CAD";"COD_FABRIC";"FK_SGR";"FK_CLF";"FK_MOE";"PREC_COMPR";"MARKUP";"PREC_VENDA";"QUANTIDADE";"QUANT_MIN";"FK_UNI";"OBSERVACAO";"REV_IND";"PERC_MO";"VALMOB";"EMB_PADRAO";"FK_UNICMP";"DATA_REAJ";"QTD_INIC";"INATIVO";"HOMEPAGE";"ARQUIVO";"SALA";"ESTANTE";"PRATELEIRA";"DESC_COMPL";"FK_USUEND";"DT_USUEND";"EM_DESATIV";"DATA_CAD";"USU_CAD";"QT_MIN_VEN";"FK_CAD_FIC";"ELAB_FOR";"DATA_ELAB";"DT_INATIV";"INSPECIONA";"INSP_OBS";"FK_SIT";"FK_CADCLI";"QTD2";"CODIGO_THYSSEN";"QTD_LINHA";"QTD_INIC_LINHA";"QTD_DIG_LINHA";"COD_FABRIC2";"FK_ORP";"ULT_ALIQ_ICMS";"ICMS_ORC";"MARKUP_ORC";"COMISSAO_ORC";"QTD_MESES_OC";"FK_SUB";"ESTOQUE_SEGURANCA";"LOTE_COMPRA";"PONTO_PEDIDO";"MESES_CONSUMO_MED";"RODAR_PONTO_PED_QTDMESES";"LEADTIME";"MOQ";"MARKUP_MAODEOBRA";"MARKUP_MATPRIMA";"QUANTIDADE_ANTIGA";"CODIGO_FCI";"MULT_ESTMIN";"CLASSIF_XYZ";"CLASSIF_ABC";"QTD_INIC1807";"OLD_PREC_COMPR";"OLD_PREC_VENDA";"ROHS";"COD_NF_FORNECEDOR";"PERIODICIDADE";"FK_NIV";"MESES_CONSUMO_MRP";"ULT_CUSTO_COMPRA";"HORIZONTE_PROGRAMACAO";"REV_IND_FIC";"FK_CEL";"LEADTIMEVENDA";"LEADTIMEVENDAUTEIS";"VAL_SALDO";"MRP_AUTOMATICO";"ANTECIPA_PERC_PP";"SEMANA_CONSIDERA_OP";"PERC_ESTOQUE_LP";"DELAY_OC";"CONSIDERA_VENDAS_DIRETAS";"COD_MP_CLIENTE";"DIVISAO_PARTE1";"DIVISAO_PARTE2";"DIVISAO_PARTE3";"DIVISAO_PARTE4";"DIVISAO_PARTE5";"FREQUENCIA_MRP";"TC_DIVISAO1";"TC_DIVISAO2";"TC_DIVISAO3";"TC_DIVISAO4";"TC_DIVISAO5";"TEMPO_CICLO";"DATA_ULT_TC_PRO";"DATA_ULT_TC_DIV1";"DATA_ULT_TC_DIV2";"DATA_ULT_TC_DIV3";"DATA_ULT_TC_DIV4";"DATA_ULT_TC_DIV5";"QTD_PESSOAS_TC_PRO";"QTD_PESSOAS_TC_DIV1";"QTD_PESSOAS_TC_DIV2";"QTD_PESSOAS_TC_DIV3";"QTD_PESSOAS_TC_DIV4";"QTD_PESSOAS_TC_DIV5";"MPQ";"TAMANHO_LOTE";"SEQUENCIA_CODBARRAS";"QTD_ANT";"QTDLP_ANT";"QTD_CORTE";"QTD_APONTADA";"CUSTO_UNIT";"PERC_ESTOQUE_CORTE";"REV_IND_CORTE";"ALIQ_PIS";"ALIQ_COFINS";"DATA_EFETIVACAO";"FK_NOR";"FK_CRS";"FK_BIT";"TENSAO";"TEMPERATURA";"FK_USU_CEL";"DATA_CEL";"SEMANAS_VDA_DIRETA";"CONSIDERA_OPS_ATRASADAS";"APLICAVEL";"CONSUMO_PREVISTO";"PRECO_FOB";"II";"FATOR_IMPORTACAO";"LEAD_TIME_PRIMEIRA_ENTREGA";"LEAD_TIME_ENTREGA_PADRAO";"FK_MOEFOB";"LEADTIME_UTIL_CORRIDO";"MULT_COMPOSICAO";"ANTECIPA_OP_LISTA_CORTE";"CONSIDERA_FORECAST";"FINALIDADE";"CREDITO_PISCOFINS";"CREDITO_ICMS"
0;44868.0;"CHICOTE LIGAÇÃO";13.0;"1239386";139.0;160.0;1.0;51.1052;0.0;53.6604;0.0;0.0;1.0;"";"00";0.0;0.0;"";1.0;"2019-01-31 11:49:41.120";"";"N";"";"";"";"";"";"CHICOTE LIGAÇÃO ANTENA SMART 6 - JACTO";"";"";"N";"2016-08-08 10:52:17.016";"EWERTON";0.0;"";"";"";"";"N";"";"";"";"";"";0.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"";"";"00";20.0;"";"N";0.0;"N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0.0;2233.0;46.695;85.0;"";1.65;7.6;"";"";"";"";"";"";214.0;"2019-02-12 12:26:31.764";"";"N";"N";112.5;"";"";"";30;30;"";"C";"";"N";"N";"";"";""
1;44869.0;"CHICOTE PILOTO";13.0;"1239392";156.0;160.0;1.0;155.7715;0.0;163.5601;0.0;0.0;1.0;"";"1.2";0.0;0.0;"";1.0;"2019-07-30 17:04:13.493";"";"N";"";"";"";"";"";"CHICOTE PILOTO APJ - UP2530 - JACTO";"";"";"N";"2016-08-08 11:08:49.235";"EWERTON";0.0;"";"";"";"";"N";"";"";"";"";"";0.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"";"";"1.2";20.0;"";"N";0.0;"N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0.0;752.0;0.0;85.0;"1.2";1.65;7.6;"";"";"";"";"";"";214.0;"2019-04-29 09:28:16.966";"";"N";"N";58.33;"";"";"";30;30;"";"C";"";"N";"N";"";"";""
2;53326.0;"CABLE ASSY DISPL";13.0;"1218201";139.0;160.0;1.0;49.9799;0.0;52.4789;0.0;0.0;1.0;"";"1.1";0.0;0.0;"";1.0;"2019-02-14 15:01:22.139";"";"N";"";"";"";"";"";"CABLE ASSY DISPLAY, POWER W/CAN, CFX-750 - JACTO";"";"";"N";"2017-06-30 08:13:59.860";"EWERTON";0.0;"";"";"";"";"N";"";"";"";"";"";0.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"";"";"1.1";20.0;"";"N";0.0;"N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0.0;626.0;0.0;85.0;"1.2";1.65;7.6;"2018-05-15 07:37:11.650";"";"";"";"";"";214.0;"2019-04-29 09:28:05.649";"";"N";"N";8.33;"";"";"";30;30;"";"C";"";"N";"N";"";"";""
3;50125.0;"CHICOTE DE LIGAÇ";13.0;"187153";139.0;160.0;1.0;82.1205;0.0;86.2265;0.0;0.0;1.0;"";"00";0.0;0.0;"";1.0;"2020-01-06 14:48:08.822";"";"N";"";"";"";"";"";"CABO DE LIGAÇÃO TRATOR -  JACTO";"";"";"N";"2017-03-28 11:19:48.742";"EWERTON";0.0;"";"";"";"";"N";"";"";"";"";"";0.0;"";"";"";"";"";"";21.5;1.0;"";127.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"";"";"00";34.0;"";"N";3205.91;"N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0.0;1905.0;641.182;85.0;"0.0";1.65;7.6;"";"";"";"";"";"";"";"";"";"N";"N";77.17;"";"";"";30;30;"";"";"";"N";"N";"";"";""
4;63694.0;"CHICOTE MOTOR DI";13.0;"1251652";139.0;160.0;1.0;221.2306;0.0;232.2922;0.0;0.0;1.0;"";"0.2";0.0;0.0;"";1.0;"2019-05-14 16:08:49.613";"";"N";"";"";"";"";"";"CHICOTE MOTOR DIESEL - K3500 MY2020 - JACTO";"";"";"N";"2018-03-06 06:32:19.246";"EWERTON";0.0;"";"";"";"";"N";"";"";"";"";"";0.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"";"";"0.2";34.0;"";"N";0.0;"N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0.0;23.0;0.0;"";"0.3";1.65;7.6;"2018-12-05 13:53:20.483";"";"";"";"";"";214.0;"2019-03-19 16:56:38.205";"";"N";"N";8.33;"";"";"";30;30;"";"C";"";"N";"N";"";"";""
5;76859.0;"CHICOTE PRINCIP";13.0;"1255545";139.0;160.0;1.0;1033.8993;0.0;1085.5943;0.0;0.0;1.0;"";"0.2";0.0;0.0;"";1.0;"2020-01-31 15:03:13.136";"";"N";"";"";"";"";"";"CHICOTE PRINCIPAL CABINE UP2030 - JACTO";"";"";"N";"2018-08-20 08:14:02.021";"EWERTON";0.0;"";"";"";"";"N";"";"";"";"";"";0.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"";"";"0.2";34.0;"";"N";0.0;"N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0.0;201.0;0.0;"";"";1.65;7.6;"2018-01-01 00:00:00.000";"";"";"";"";"";214.0;"2019-04-08 09:47:00.144";"";"N";"N";3.33;"";"";"";30;30;"";"C";"";"N";"N";"";"";""
6;76862.0;"CHICOTE PRINCIPA";13.0;"1255544";139.0;160.0;1.0;1010.2492;0.0;1060.7617;0.0;0.0;1.0;"";"0.2";0.0;0.0;"";1.0;"2019-06-26 15:27:49.062";"";"N";"";"";"";"";"";"CHICOTE PRINCIPAL MÁQUINA - UP2020- JACTO";"";"";"N";"2018-08-20 09:11:21.219";"EWERTON";0.0;"";"";"";"";"N";"";"";"";"";"";0.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"";"";"0.2";34.0;"";"N";0.0;"N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0.0;207.0;2504.116;"";"";1.65;7.6;"2018-01-01 00:00:00.000";"";"";"";"";"";214.0;"2019-04-08 09:47:24.451";"";"N";"N";0.0;"";"";"";30;30;"";"C";"";"N";"N";"";"";""
