"";"PK_IPC";"FK_PCO";"FK_PRO";"QUANTIDADE";"QTD_RECEB";"VALOR";"FK_MOE";"ENTREGA";"SEM_ENTREG";"FK_UNI";"QTD_CANC";"FOLLOWUP";"DT_FOLLOW";"DATA_IDEAL";"OBS";"VALOR_ANTERIOR";"DATA_ULT_ATUALIZACAO_FOLLOW";"FINALIDADE";"SOLICITANTE"
6183;159410.0;85147.0;7308.0;800.0;800.0;0.8593;1.0;"2019-03-06 00:00:00.000";102019.0;5.0;0.0;"";"2019-03-06 00:00:00.000";"2019-03-06 00:00:00.000";"";"";"2019-03-01 13:09:53.020";"COMPRAS MAT PRIMA";""
6184;159412.0;85149.0;37171.0;400.0;400.0;1.3934;1.0;"2019-03-06 00:00:00.000";112019.0;5.0;0.0;"";"";"2019-03-06 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
6185;159413.0;85150.0;36982.0;400.0;400.0;1.3934;1.0;"2019-03-06 00:00:00.000";102019.0;5.0;0.0;"";"";"2019-03-06 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
6186;159417.0;85154.0;36984.0;300.0;300.0;2.0792;1.0;"2019-03-06 00:00:00.000";112019.0;5.0;0.0;"";"";"2019-03-06 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
6187;159418.0;85155.0;36985.0;400.0;400.0;2.0792;1.0;"2019-03-06 00:00:00.000";112019.0;5.0;0.0;"";"";"2019-03-06 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
6188;159776.0;85388.0;69456.0;35.0;35.0;12.89464;1.0;"2019-04-08 00:00:00.000";152019.0;1.0;0.0;"";"";"2019-04-08 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
6189;159448.0;85180.0;44984.0;42.0;42.0;1.6724;1.0;"2019-03-04 00:00:00.000";102019.0;14.0;0.0;"";"";"2019-03-04 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
6190;159451.0;85183.0;45169.0;5.0;5.0;4.4635;1.0;"2019-03-18 00:00:00.000";122019.0;14.0;0.0;"";"";"2019-03-18 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
6191;159466.0;85194.0;81182.0;5.0;5.0;0.0;1.0;"2019-03-04 00:00:00.000";102019.0;14.0;0.0;"";"";"2019-03-04 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
6192;160280.0;85762.0;44709.0;80.0;80.0;13.43724;1.0;"2019-05-27 00:00:00.000";222019.0;1.0;0.0;"";"2019-08-19 00:00:00.000";"2019-05-27 00:00:00.000";"";"";"2019-05-20 11:34:13.824";"COMPRAS MAT PRIMA";""
6193;159787.0;85396.0;36760.0;2445.0;0.0;1.376;1.0;"2019-05-20 00:00:00.000";212019.0;1.0;2445.0;"";"";"2019-05-20 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
6194;160279.0;85762.0;44709.0;80.0;80.0;13.43724;1.0;"2019-06-10 00:00:00.000";242019.0;1.0;0.0;"";"2019-08-15 00:00:00.000";"2019-06-10 00:00:00.000";"";"";"2019-06-04 08:18:11.026";"COMPRAS MAT PRIMA";""
6195;159754.0;85377.0;5754.0;3000.0;3000.0;0.1995;1.0;"2019-03-12 00:00:00.000";112019.0;5.0;0.0;"";"";"2019-03-12 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
6196;159546.0;85252.0;45180.0;200.0;200.0;0.42;1.0;"2019-03-06 00:00:00.000";102019.0;5.0;0.0;"NOTA FISCAL 26095";"2019-03-06 00:00:00.000";"2019-03-06 00:00:00.000";"";"";"2019-03-06 08:23:51.732";"COMPRAS MAT PRIMA";""
6197;159545.0;85252.0;45180.0;100.0;100.0;0.42;1.0;"2019-03-11 00:00:00.000";112019.0;5.0;0.0;"";"2019-03-11 00:00:00.000";"2019-03-11 00:00:00.000";"";"";"2019-03-06 08:29:11.202";"COMPRAS MAT PRIMA";""
6198;159549.0;85255.0;47404.0;100.0;100.0;1.05;1.0;"2019-03-11 00:00:00.000";102019.0;5.0;0.0;"";"2019-03-11 00:00:00.000";"2019-03-11 00:00:00.000";"";"";"2019-03-06 08:28:37.789";"COMPRAS MAT PRIMA";""
6199;159550.0;85256.0;45185.0;100.0;100.0;1.29;1.0;"2019-03-06 00:00:00.000";102019.0;5.0;0.0;"NOTA FISCAL 26095";"2019-03-06 00:00:00.000";"2019-03-06 00:00:00.000";"";"";"2019-03-06 08:23:55.643";"COMPRAS MAT PRIMA";""
6200;159552.0;85257.0;45946.0;200.0;200.0;0.23;1.0;"2019-03-11 00:00:00.000";112019.0;5.0;0.0;"";"2019-03-11 00:00:00.000";"2019-03-11 00:00:00.000";"";"";"2019-03-06 08:28:33.256";"COMPRAS MAT PRIMA";""
6201;159551.0;85257.0;45946.0;200.0;200.0;0.23;1.0;"2019-03-18 00:00:00.000";122019.0;5.0;0.0;"";"";"2019-03-18 00:00:00.000";"";"";"";"COMPRAS MAT PRIMA";""
6202;160282.0;85763.0;69449.0;150.0;75.0;5.14861;1.0;"2019-05-13 00:00:00.000";202019.0;1.0;75.0;"";"2019-05-13 00:00:00.000";"2019-05-13 00:00:00.000";"";"";"2019-03-07 16:00:33.788";"COMPRAS MAT PRIMA";""
6203;160281.0;85763.0;69449.0;150.0;150.0;5.14861;1.0;"2019-06-03 00:00:00.000";232019.0;1.0;0.0;"";"2019-06-03 00:00:00.000";"2019-06-03 00:00:00.000";"";"";"2019-03-07 16:00:40.285";"COMPRAS MAT PRIMA";""
6204;160283.0;85764.0;44425.0;200.0;200.0;8.78682;1.0;"2019-05-20 00:00:00.000";212019.0;1.0;0.0;"";"2019-05-27 00:00:00.000";"2019-05-20 00:00:00.000";"";"";"2019-05-20 11:34:42.414";"COMPRAS MAT PRIMA";""
6205;160285.0;85766.0;44739.0;100.0;100.0;57.3825;1.0;"2019-05-27 00:00:00.000";222019.0;1.0;0.0;"";"2019-07-22 00:00:00.000";"2019-05-27 00:00:00.000";"";"";"2019-05-20 11:34:59.835";"COMPRAS MAT PRIMA";""
6206;159711.0;85351.0;7307.0;800.0;800.0;0.8593;1.0;"2019-03-01 00:00:00.000";92019.0;5.0;0.0;"";"2019-03-06 00:00:00.000";"2019-03-01 00:00:00.000";"";"";"2019-02-27 08:07:14.453";"COMPRAS MAT PRIMA";""
6207;159710.0;85351.0;7307.0;800.0;800.0;0.8593;1.0;"2019-03-06 00:00:00.000";102019.0;5.0;0.0;"";"2019-03-01 00:00:00.000";"2019-03-06 00:00:00.000";"";"";"2019-03-01 13:09:16.964";"COMPRAS MAT PRIMA";""
