PK_CAD,RAZAO_SOCIAL,FANTASIA
810,000,"DARTHEL INDÚSTRIA DE PLÁSTICOS LTDA","DARTHEL"
811,000,"TELEFONICA BRASIL LTDA",
812,000,"TELEFONICA BRASIL S.A","VIVO"
813,000,"ADAO LUIZ DE OLIVEIRA DA SILVA","COME COME"
1944,000,"DARF 2484 CSLL",
814,000,"FACI SERVICE FORNECIMENTO E MONTAGEM INDL LTDA","FACI SERVICE"
815,000,"DATATECK INDUSTRIA E COMERCIO LTDA","DATATECK FILIAL"
816,000,"ABC GUAIBA COM DE TINTAS LTDA","ABC-TINTAS"
817,000,"CONPASUL CONSTRUCAO E SERVS LTDA","CONPASUL"
818,000,"LANCHERIA FATIMA","LANCHERIA FATIMA"
1665,000,"JOSE CAMPOS BANDEIRA JUNIOR - ME","J. J. MARTELINHO DE OURO"
819,000,"MARCO POKORSKI STEFANI DESENVOLVIMENTO","ADEPT SOFTWARE DEVELOPMENT"
820,000,"MERCOBOMBA LOCACAO DE MAQ. E EQUIP. LTDA.","MERCOBOMBA"
822,000,"SOULTEC IMPORTAÇÃO E COMÉRCIO LTDA.","SOULTEC"
824,000,"EMPICARGAS SUL LTDA","EMPICARGAS"
825,000,"SYMTRONIC COMERCIO DE SISTEMAS ELETRONICOS LTDA","SYMTRONIC"
827,000,"KELLER NAUTICA LTDA","MARINA DA GONGA"
828,000,"CASA DE CARNES FIGUEIRA LTDA","CASA DE CARNE FIGUIERA"
829,000,"RICARDO PIZZARIA E RESTAURANTE LTDA","RICARDO PIZZAS E CALZONES"
830,000,"TUMELERO MATERIAIS DE CONSTRUCAO S/A","TUMELERO"
1427,000,"JULIUS S GALETO LTDA","GALETTO MAMA MIA"
831,000,"PROMO QUALITY TEXTIL LTDA EPP","PROMO QUALITY TEXTIL LTDA EPP"
832,000,"RICARDO VALENCA BARRETOS","DESENTUPIDORA PORTO ALEGRE"
834,000,"ATRIO HOTEIS S.A","ATRIO ADM. E INCORPORADORA S.A"
835,000,"IGNEZ PEREIRA E CIA LTDA","HOTEL ENSEADA ITAPEMA"
836,000,"VIAGENS CLIENTES",
837,000,"PALUDO E LEITE LTDA","BRASIL SIGN- SOLUCOES-ME"
838,000,"DORIVAL ANTUNES CORREA","ELETROCARGA CORREA"
906,000,"HYUNDAI CAOA DO BRASIL LTDA","HYUNDAI"
839,000,"DENIS E NELCI ROCHO COMERCIO DE ELETRONICOS LTDA ME","DNR IMPORTS"
840,000,"EMBALUNE  INDUSTRIA DE EMBALAGENS LTDA",
843,000,"STAR SERVICE-ORGANIZACAO EMPRESARIAL LTDA","STAR SERVICE"
844,000,"TECHNOMASTER EQUIP LTDA","TECHNOMASTER EQUIPAMENTOS LTDA"
842,000,"TRANSPORTADORA MINUANO LTDA",
846,000,"AVNET DO BRASIL LTDA","AVNET FILIAL"
847,000,"MERIDIONAL CARGAS LTDA.","MERIDIONAL CARGAS"
848,000,"CERAMICA KASPARY LTDA","CERAMICA KASPARY"
849,000,"F R DE SOUZA OLICHESKI",
1017,000,"FERRAMENTARIA DAN LTDA","FERRAMENTARIA DAN"
851,000,"RECRIS TRANSPORTES E LOGISTICA LTDA","RECRIS TRANSPORTES"
853,000,"URACH E CERVI LTDA","SANAR"
855,000,"THORNTON ELETRONICA LTDA","THORNTON INPEC ELETRONICA"
854,000,"DROGARIA MAIS ECONOMICA S.A","MAIS ECONOMICA FARMACIAS"
856,000,"DEVIT & HOFF LTDA","LIDER"
2262,000,"KLC ELETRIC CONEXÕES LTDA","KLC CONECTORES"
