"";"PK_FIC";"FK_PROACAB";"FK_PRO";"QUANTIDADE";"ORDEM";"MAT_CLI";"RELAT_SUPR";"ALIQ_ICMS";"FK_PRO_BENEF";"QTD_PRO_BENEF"
74;1227265.0;50125.0;50079.0;1.0;"";"N";"N";"";"";""
75;1227266.0;50125.0;54910.0;16.0;"";"N";"N";"";"";""
76;1227267.0;50125.0;50128.0;1.0;"";"N";"N";"";"";""
77;1227268.0;50125.0;50069.0;2.54;"";"N";"N";"";"";""
78;1227269.0;50125.0;55966.0;2.0;"";"N";"N";"";"";""
79;1227270.0;50125.0;52103.0;2.0;"";"N";"N";"";"";""
80;1227271.0;50125.0;50074.0;2.0;"";"N";"N";"";"";""
81;1227272.0;50125.0;44774.0;16.0;"";"N";"N";"";"";""
82;1227273.0;50125.0;50127.0;1.0;"";"N";"N";"";"";""
83;1300589.0;53326.0;85820.0;1.235;"";"N";"N";"";"";""
84;1300590.0;53326.0;45180.0;1.83;"";"N";"N";"";"";""
85;1300591.0;53326.0;7323.0;0.87;"";"N";"N";"";"";""
86;1300592.0;53326.0;9988.0;0.87;"";"N";"N";"";"";""
87;1300593.0;53326.0;37000.0;2.015;"";"N";"N";"";"";""
88;1300594.0;53326.0;37012.0;2.015;"";"N";"N";"";"";""
89;1300595.0;53326.0;51169.0;1.0;"";"N";"N";"";"";""
90;1300596.0;53326.0;36550.0;2.0;"";"N";"N";"";"";""
91;1300597.0;53326.0;36554.0;4.0;"";"N";"N";"";"";""
92;1300598.0;53326.0;36816.0;1.0;"";"N";"N";"";"";""
93;1300599.0;53326.0;64863.0;1.0;"";"N";"N";"";"";""
94;1300600.0;53326.0;17233.0;2.0;"";"N";"N";"";"";""
95;1300601.0;53326.0;16692.0;2.0;"";"N";"N";"";"";""
96;1300602.0;53326.0;46705.0;1.0;"";"N";"N";"";"";""
97;1300603.0;53326.0;46704.0;1.0;"";"N";"N";"";"";""
98;1300604.0;53326.0;17226.0;4.0;"";"N";"N";"";"";""
99;1300605.0;53326.0;46580.0;1.0;"";"N";"N";"";"";""
100;1300606.0;53326.0;53307.0;1.0;"";"N";"N";"";"";""
101;1300607.0;53326.0;7308.0;2.015;"";"N";"N";"";"";""
102;1300608.0;53326.0;7307.0;2.015;"";"N";"N";"";"";""
103;1376880.0;44869.0;45946.0;0.35;"";"N";"N";"";"";""
104;1438459.0;63694.0;44989.0;1.0;"";"N";"N";"";"";""
105;1438460.0;63694.0;17232.0;3.0;"";"N";"N";"";"";""
106;1438461.0;63694.0;36786.0;13.0;"";"N";"N";"";"";""
107;1438462.0;63694.0;36788.0;14.0;"";"N";"N";"";"";""
108;1438465.0;63694.0;36722.0;3.0;"";"N";"N";"";"";""
109;1438466.0;63694.0;36716.0;4.0;"";"N";"N";"";"";""
110;1438467.0;63694.0;36482.0;3.0;"";"N";"N";"";"";""
111;1438468.0;63694.0;44728.0;4.0;"";"N";"N";"";"";""
112;1438469.0;63694.0;36490.0;1.0;"";"N";"N";"";"";""
113;1438472.0;63694.0;1916.0;1.0;"";"N";"N";"";"";""
114;1438473.0;63694.0;38359.0;2.0;"";"N";"N";"";"";""
115;1438474.0;63694.0;69455.0;7.0;"";"N";"N";"";"";""
116;1438475.0;63694.0;36812.0;7.0;"";"N";"N";"";"";""
117;1438476.0;63694.0;1718.0;1.0;"";"N";"N";"";"";""
118;1438477.0;63694.0;37259.0;0.03;"";"N";"N";"";"";""
119;1438478.0;63694.0;69449.0;2.0;"";"N";"N";"";"";""
120;1438479.0;63694.0;69452.0;1.0;"";"N";"N";"";"";""
121;1438480.0;63694.0;36554.0;11.0;"";"N";"N";"";"";""
122;1438481.0;63694.0;36550.0;14.0;"";"N";"N";"";"";""
123;1438482.0;63694.0;36498.0;1.0;"";"N";"N";"";"";""
124;1438483.0;63694.0;36579.0;3.0;"";"N";"N";"";"";""
125;1438485.0;63694.0;45180.0;3.9;"";"N";"N";"";"";""
126;1438486.0;63694.0;45184.0;1.7;"";"N";"N";"";"";""
127;1438487.0;63694.0;45190.0;1.2;"";"N";"N";"";"";""
128;1438488.0;63694.0;45946.0;5.85;"";"N";"N";"";"";""
129;1438489.0;63694.0;45182.0;0.4;"";"N";"N";"";"";""
130;1438490.0;63694.0;85820.0;6.3715;"";"N";"N";"";"";""
131;1438491.0;63694.0;36557.0;1.0;"";"N";"N";"";"";""
132;1438492.0;63694.0;36519.0;1.0;"";"N";"N";"";"";""
133;1438493.0;63694.0;36520.0;1.0;"";"N";"N";"";"";""
134;1438494.0;63694.0;63695.0;1.0;"";"N";"N";"";"";""
135;1438495.0;63694.0;63696.0;1.0;"";"N";"N";"";"";""
136;1438528.0;63694.0;37262.0;0.42;"";"N";"N";"";"";""
137;1443875.0;44869.0;72218.0;1.0;"";"N";"N";"";"";""
138;1443876.0;44869.0;36814.0;1.0;"";"N";"N";"";"";""
139;1627584.0;76859.0;45187.0;0.4;"";"N";"N";"";"";""
140;1627585.0;76859.0;44404.0;2.0;"";"N";"N";"";"";""
141;1627586.0;76859.0;20528.0;1.2;"";"N";"N";"";"";""
142;1627587.0;76859.0;44709.0;1.0;"";"N";"N";"";"";""
143;1627588.0;76859.0;44410.0;1.0;"";"N";"N";"";"";""
144;1627589.0;76859.0;17232.0;27.0;"";"N";"N";"";"";""
145;1627590.0;76859.0;36786.0;67.0;"";"N";"N";"";"";""
146;1627591.0;76859.0;36550.0;63.0;"";"N";"N";"";"";""
147;1627592.0;76859.0;72233.0;1.0;"";"N";"N";"";"";""
148;1627593.0;76859.0;49487.0;1.0;"";"N";"N";"";"";""
