,CPD_MP,OC,FORNECEDOR,QTD_PENDENTE_OC,ENTREGA,SIMBOLO,VALOR_TOTAL
142,37014.0,105435.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,5.0,2020-03-16,R$,236.49795
143,37014.0,106406.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,5.0,2020-03-30,R$,236.49795
144,37014.0,107385.0,MOUSER,2.0,2020-02-18,US$,37.7
145,37014.0,107710.0,MOUSER,2.0,2020-02-28,US$,37.7
146,37055.0,106786.0,BELCABOS INDÚSTRIA DE CONDUTORES ELÉTRICOS LTDA,15000.0,2020-03-10,R$,8416.5
147,37055.0,107236.0,BELCABOS INDÚSTRIA DE CONDUTORES ELÉTRICOS LTDA,10000.0,2020-03-03,R$,5611.0
148,37147.0,107553.0,BELCABOS INDÚSTRIA DE CONDUTORES ELÉTRICOS LTDA,100.0,2020-03-03,R$,410.71999999999997
149,37151.0,107554.0,BELCABOS INDÚSTRIA DE CONDUTORES ELÉTRICOS LTDA,300.0,2020-03-03,R$,1232.1599999999999
150,37259.0,107157.0,DMI INTERNATIONAL BUSINESS LTDA,1000.0,2020-02-26,R$,2810.0
151,37259.0,107366.0,DMI INTERNATIONAL BUSINESS LTDA,100.0,2020-02-24,R$,281.0
152,37261.0,107382.0,DMI INTERNATIONAL BUSINESS LTDA,300.0,2020-02-26,R$,1209.0
153,37823.0,107145.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,150.0,2020-05-04,R$,405.96
154,37896.0,105725.0,FUSOPAR PARAFUSOS LTDA,300.0,2020-02-24,R$,4.732799999999999
155,38355.0,107472.0,ARROW BRASIL S.A,8000.0,2020-04-06,R$,1904.0
156,39009.0,105264.0,KOTEK ELETRO ELETRONICA LTDA,10.0,2020-03-02,R$,13.009
157,39009.0,106217.0,KOTEK ELETRO ELETRONICA LTDA,10.0,2020-03-16,R$,13.009
158,39009.0,107497.0,KOTEK ELETRO ELETRONICA LTDA,10.0,2020-04-06,R$,13.009
159,42346.0,105967.0,FUSOPAR PARAFUSOS LTDA,2000.0,2020-03-02,R$,228.0
160,42346.0,106894.0,FUSOPAR PARAFUSOS LTDA,1800.0,2020-03-16,R$,205.20000000000002
161,42432.0,106508.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,100.0,2020-03-23,R$,43.53
162,44145.0,103695.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,100.0,2020-02-24,R$,63.88
163,44145.0,103695.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,480.0,2020-03-02,R$,306.624
164,44145.0,104587.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,190.0,2020-03-09,R$,121.372
165,44145.0,105102.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,40.0,2020-03-30,R$,25.552
166,44145.0,105102.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,610.0,2020-04-06,R$,389.668
167,44145.0,105544.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,120.0,2020-04-13,R$,76.656
168,44145.0,106513.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,340.0,2020-04-20,R$,217.192
169,44145.0,106954.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,90.0,2020-04-27,R$,57.492000000000004
170,44145.0,106954.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,760.0,2020-05-04,R$,485.488
171,44402.0,102096.0,ARROW BRASIL S.A,105.0,2020-03-23,R$,3304.2555
172,44402.0,106222.0,ARROW BRASIL S.A,105.0,2020-06-08,R$,3304.2555
173,44403.0,102097.0,ARROW BRASIL S.A,105.0,2020-03-09,R$,3304.2555
174,44403.0,105269.0,ARROW BRASIL S.A,105.0,2020-05-18,R$,3304.2555
175,44403.0,106675.0,ARROW BRASIL S.A,105.0,2020-06-29,R$,3304.2555
176,44410.0,103524.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,10.0,2020-03-02,R$,755.386
177,44410.0,103992.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,10.0,2020-03-02,R$,755.386
178,44410.0,105401.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,30.0,2020-04-06,R$,2266.158
179,44410.0,106376.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,5.0,2020-04-27,R$,377.693
180,44410.0,106824.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,15.0,2020-04-27,R$,1133.079
181,44410.0,106824.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,30.0,2020-05-04,R$,2266.158
182,44410.0,107260.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,5.0,2020-05-11,R$,377.693
183,44425.0,102459.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,170.0,2020-02-10,R$,1523.166
184,44425.0,103334.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,110.0,2020-03-02,R$,985.578
185,44425.0,103779.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,65.0,2020-03-02,R$,582.387
186,44709.0,103527.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,75.0,2020-03-02,R$,1077.93
187,44709.0,104452.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,10.0,2020-03-16,R$,143.72400000000002
188,44709.0,105403.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,35.0,2020-04-06,R$,503.03400000000005
189,44709.0,106378.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,30.0,2020-04-27,R$,431.172
190,44709.0,106828.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,80.0,2020-05-04,R$,1149.7920000000001
191,44709.0,107263.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,5.0,2020-05-11,R$,71.86200000000001
192,44727.0,107425.0,ARROW BRASIL S.A,100.0,2020-03-09,R$,299.85
193,44727.0,107464.0,ARROW BRASIL S.A,100.0,2020-04-06,R$,299.85
194,44727.0,107654.0,ETESSADAHNIAR IND. E COM. DE AUTO PECAS LTDA,100.0,2020-02-24,R$,356.46
195,44728.0,105223.0,ARROW BRASIL S.A,2200.0,2020-05-04,R$,818.4
196,44732.0,104234.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,100.0,2020-02-17,R$,983.328
197,44738.0,106825.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,5.0,2020-04-06,R$,327.125
198,44738.0,107261.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,5.0,2020-04-13,R$,327.125
199,44739.0,103526.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,70.0,2020-04-30,R$,4296.327
200,44739.0,103993.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,45.0,2020-02-24,R$,2761.9245
201,44739.0,103993.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,45.0,2020-03-09,R$,2761.9245
202,44739.0,106826.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,25.0,2020-05-04,R$,1534.4025
203,44740.0,104947.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,15.0,2020-03-02,R$,1031.4495
204,44740.0,105402.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,10.0,2020-03-09,R$,687.633
205,44740.0,106377.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,5.0,2020-03-30,R$,343.8165
206,44740.0,106827.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,40.0,2020-04-06,R$,2750.532
207,44774.0,101661.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,12000.0,2020-03-02,R$,4837.2
208,44774.0,105282.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,12000.0,2020-04-06,R$,4837.2
